Function	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_rest	category	Significance	pvalue
Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	M00533	GC_00001118	0.8182	KEGG_Module	No	0
Methionine degradation	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	M00035	GC_00001066, GC_00002089, GC_00004173, GC_00004340	0.8182	KEGG_Module	No	0
Methylaspartate cycle	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	M00740	GC_00001079	0.8182	KEGG_Module	No	0
Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	0.429701343995153	0.806661888392382	1	Ferroplasma_c, MAG00006	M00046	GC_00001224, GC_00001300, GC_00001343, GC_00001457	0.8182	KEGG_Module	No	0
Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	0.429701343995152	0.806661888392383	1	rest	M00039	GC_00002615	0.1818	KEGG_Module	No	0
Acylglycerol degradation	0.196948359189838	0.906219091256217	1	rest	M00098	GC_00003880	0.0909	KEGG_Module	No	0
Ascorbate biosynthesis, animals, glucose-1P => ascorbate!!!Glycogen biosynthesis, glucose-1P => glycogen/starch!!!Nucleotide sugar biosynthesis, glucose => UDP-glucose	0.196948359189838	0.906219091256217	1	rest	M00129!!!M00854!!!M00549	GC_00003396	0.0909	KEGG_Module	No	0
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Fumarate reductase, prokaryotes!!!Anoxygenic photosynthesis in green nonsulfur bacteria!!!Anoxygenic photosynthesis in green sulfur bacteria	0.196948359189838	0.906219091256217	1	rest	M00009!!!M00011!!!M00173!!!M00150!!!M00613!!!M00614	GC_00003016	0.0909	KEGG_Module	No	0
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Succinate dehydrogenase, prokaryotes!!!Anoxygenic photosynthesis in green nonsulfur bacteria!!!Anoxygenic photosynthesis in green sulfur bacteria	0.196948359189838	0.906219091256217	1	rest	M00009!!!M00011!!!M00173!!!M00149!!!M00613!!!M00614	GC_00003650	0.0909	KEGG_Module	No	0
Glucuronate pathway (uronate pathway)!!!Ascorbate biosynthesis, animals, glucose-1P => ascorbate	0.196948359189838	0.906219091256217	1	rest	M00014!!!M00129	GC_00003380	0.0909	KEGG_Module	No	0
Methanogenesis, CO2 => methane!!!Methanogenesis, acetate => methane!!!Methanogen	0.196948359189838	0.906219091256217	1	rest	M00567!!!M00357!!!M00617	GC_00004477	0.0909	KEGG_Module	No	0
Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P!!!Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P!!!Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	0.196948359189838	0.906219091256217	1	rest	M00308!!!M00633!!!M00309	GC_00003187	0.0909	KEGG_Module	No	0
Arginine biosynthesis, ornithine => arginine!!!Arginine biosynthesis, glutamate => acetylcitrulline => arginine!!!Urea cycle	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00844!!!M00845!!!M00029	GC_00000758, GC_00001073	0.9091	KEGG_Module	No	0
CAM (Crassulacean acid metabolism), dark!!!C4-dicarboxylic acid cycle, NADP - malic enzyme type!!!C4-dicarboxylic acid cycle, NAD - malic enzyme type!!!C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Dicarboxylate-hydroxybutyrate cycle!!!Formaldehyde assimilation, serine pathway!!!Anoxygenic photosynthesis in green sulfur bacteria	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00168!!!M00172!!!M00171!!!M00170!!!M00173!!!M00374!!!M00346!!!M00614	GC_00000637	0.9091	KEGG_Module	No	0
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate!!!Glyoxylate cycle!!!Methylaspartate cycle	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00009!!!M00010!!!M00012!!!M00740	GC_00000021	0.9091	KEGG_Module	No	0
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Dicarboxylate-hydroxybutyrate cycle!!!Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate!!!Anoxygenic photosynthesis in green sulfur bacteria	0.196948359189837	0.906219091256217	1	Ferroplasma_c, MAG00006	M00009!!!M00011!!!M00173!!!M00374!!!M00620!!!M00614	GC_00000700, GC_00001011	0.9091	KEGG_Module	No	0
