KEGG_Module	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ferroplasma_c	p_rest	p_MAG00006	N_Ferroplasma_c	N_rest	N_MAG00006
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Glycolysis, core module involving three-carbon compounds!!!Gluconeogenesis, oxaloacetate => fructose-6P!!!Formaldehyde assimilation, serine pathway	0	1	1	NA	M00001!!!M00002!!!M00003!!!M00346	GC_00000630	1	1	1	1	11	1
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Glycolysis, core module involving three-carbon compounds!!!Gluconeogenesis, oxaloacetate => fructose-6P!!!Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P!!!D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P!!!Reductive pentose phosphate cycle (Calvin cycle)!!!Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P!!!Oxygenic photosynthesis in plants and cyanobacteria!!!Anoxygenic photosynthesis in purple bacteria	0	1	1	NA	M00001!!!M00002!!!M00003!!!M00308!!!M00552!!!M00165!!!M00166!!!M00611!!!M00612	GC_00000654	1	1	1	1	11	1
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Pentose phosphate pathway (Pentose phosphate cycle)!!!UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	0	1	1	NA	M00001!!!M00004!!!M00909	GC_00000560	1	1	1	1	11	1
Guanine ribonucleotide biosynthesis IMP => GDP,GTP	0	1	1	NA	M00050	GC_00000525, GC_00000540, GC_00001204	1	1	1	1	11	1
Histidine biosynthesis, PRPP => histidine	0	1	1	NA	M00026	GC_00000164, GC_00000738, GC_00000932, GC_00000946, GC_00000970, GC_00000977, GC_00001024	1	1	1	1	11	1
Histidine degradation, histidine => N-formiminoglutamate => glutamate	0	1	1	NA	M00045	GC_00000417, GC_00001267, GC_00001392	1	1	1	1	11	1
Hydroxypropionate-hydroxybutylate cycle!!!Anoxygenic photosynthesis in green nonsulfur bacteria	0	1	1	NA	M00375!!!M00613	GC_00000251	1	1	1	1	11	1
Hydroxypropionate-hydroxybutylate cycle!!!Dicarboxylate-hydroxybutyrate cycle	0	1	1	NA	M00375!!!M00374	GC_00000118, GC_00001102, GC_00002458	1	1	1	1	11	1
Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	0	1	1	NA	M00048	GC_00000096, GC_00000151, GC_00000293, GC_00000581, GC_00000671, GC_00000844, GC_00000864, GC_00000916, GC_00000998, GC_00001016, GC_00001218	1	1	1	1	11	1
Isoleucine biosynthesis, pyruvate => 2-oxobutanoate!!!Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	0	1	1	NA	M00535!!!M00432	GC_00000289, GC_00000430, GC_00000530, GC_00000609, GC_00002247	1	1	1	1	11	1
Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	0	1	1	NA	M00570	GC_00000679	1	1	1	1	11	1
Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone!!!C5 isoprenoid biosynthesis, mevalonate pathway!!!C5 isoprenoid biosynthesis, mevalonate pathway, archaea	0	1	1	NA	M00088!!!M00095!!!M00849	GC_00000255	1	1	1	1	11	1
Lactosylceramide biosynthesis	0	1	1	NA	M00066	GC_00000660	1	1	1	1	11	1
Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H	0	1	1	NA	M00881	GC_00000490, GC_00000650	1	1	1	1	11	1
Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H!!!Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H!!!Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2!!!Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2	0	1	1	NA	M00881!!!M00882!!!M00883!!!M00884	GC_00000496	1	1	1	1	11	1
Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine!!!Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	0	1	1	NA	M00031!!!M00763	GC_00000249, GC_00000444, GC_00000445, GC_00000556, GC_00001755	1	1	1	1	11	1
Methanogenesis, CO2 => methane!!!Methanogenesis, acetate => methane!!!Methanogenesis, methanol => methane!!!Methanogenesis, methylamine/dimethylamine/trimethylamine => methane!!!Methanogen	0	1	1	NA	M00567!!!M00357!!!M00356!!!M00563!!!M00617	GC_00000416	1	1	1	1	11	1
Methionine biosynthesis, apartate => homoserine => methionine	0	1	1	NA	M00017	GC_00000386, GC_00000767	1	1	1	1	11	1
Methionine salvage pathway	0	1	1	NA	M00034	GC_00000736, GC_00001160	1	1	1	1	11	1
Methionine salvage pathway!!!Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	0	1	1	NA	M00034!!!M00133	GC_00000213, GC_00000572	1	1	1	1	11	1
Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	0	1	1	NA	M00880	GC_00000053, GC_00000088, GC_00000115, GC_00000688, GC_00000693, GC_00000733, GC_00003130, GC_00003292	1	1	1	1	11	1
Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	0	1	1	NA	M00309	GC_00000388, GC_00003745, GC_00004006	1	1	1	1	11	1
Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	0	1	1	NA	M00763	GC_00000515	1	1	1	1	11	1
Pentose phosphate pathway (Pentose phosphate cycle)!!!Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	0	1	1	NA	M00004!!!M00007	GC_00000468, GC_00000478, GC_00000479	1	1	1	1	11	1
Pentose phosphate pathway (Pentose phosphate cycle)!!!Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P!!!Pentose phosphate pathway, archaea, fructose 6P => ribose 5P!!!Reductive pentose phosphate cycle (Calvin cycle)!!!Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P!!!Oxygenic photosynthesis in plants and cyanobacteria!!!Anoxygenic photosynthesis in purple bacteria	0	1	1	NA	M00004!!!M00007!!!M00580!!!M00165!!!M00167!!!M00611!!!M00612	GC_00000380	1	1	1	1	11	1
Pentose phosphate pathway (Pentose phosphate cycle)!!!Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P!!!Reductive pentose phosphate cycle (Calvin cycle)!!!Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P!!!Oxygenic photosynthesis in plants and cyanobacteria!!!Anoxygenic photosynthesis in purple bacteria	0	1	1	NA	M00004!!!M00007!!!M00165!!!M00167!!!M00611!!!M00612	GC_00000500, GC_00000543	1	1	1	1	11	1
Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	0	1	1	NA	M00024	GC_00000676	1	1	1	1	11	1
Photorespiration	0	1	1	NA	M00532	GC_00000471, GC_00001253	1	1	1	1	11	1
Photorespiration!!!Formaldehyde assimilation, serine pathway!!!C1-unit interconversion, prokaryotes!!!C1-unit interconversion, eukaryotes	0	1	1	NA	M00532!!!M00346!!!M00140!!!M00141	GC_00000308, GC_00000682, GC_00002738	1	1	1	1	11	1
Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	0	1	1	NA	M00133	GC_00000160, GC_00001071	1	1	1	1	11	1
Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA!!!3-Hydroxypropionate bi-cycle!!!Hydroxypropionate-hydroxybutylate cycle!!!Anoxygenic photosynthesis in green nonsulfur bacteria	0	1	1	NA	M00741!!!M00376!!!M00375!!!M00613	GC_00000316, GC_00000876	1	1	1	1	11	1
Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	0	1	1	NA	M00916	GC_00000553, GC_00000610	1	1	1	1	11	1
Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	0	1	1	NA	M00053	GC_00000131, GC_00000331, GC_00001033, GC_00002171	1	1	1	1	11	1
Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	0	1	1	NA	M00052	GC_00000427, GC_00000847	1	1	1	1	11	1
Pyruvate oxidation, pyruvate => acetyl-CoA!!!Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate!!!Photorespiration!!!Leucine degradation, leucine => acetoacetate + acetyl-CoA!!!Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	0	1	1	NA	M00307!!!M00009!!!M00011!!!M00532!!!M00036!!!M00032	GC_00000723, GC_00001022	1	1	1	1	11	1
Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)!!!C1-unit interconversion, prokaryotes!!!Acetogen	0	1	1	NA	M00377!!!M00140!!!M00618	GC_00000389, GC_00000544	1	1	1	1	11	1
Reductive citrate cycle (Arnon-Buchanan cycle)!!!Dicarboxylate-hydroxybutyrate cycle!!!Anoxygenic photosynthesis in green sulfur bacteria	0	1	1	NA	M00173!!!M00374!!!M00614	GC_00000155	1	1	1	1	11	1
Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD!!!Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD	0	1	1	NA	M00125!!!M00911	GC_00000605, GC_00000962	1	1	1	1	11	1
Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P!!!Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	0	1	1	NA	M00633!!!M00309	GC_00000147	1	1	1	1	11	1
Serine biosynthesis, glycerate-3P => serine	0	1	1	NA	M00020	GC_00000127, GC_00000239, GC_00000618, GC_00001265, GC_00001273, GC_00001664	1	1	1	1	11	1
Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	0	1	1	NA	M00022	GC_00000223, GC_00000484, GC_00000542, GC_00000621, GC_00001140	1	1	1	1	11	1
Siroheme biosynthesis, glutamyl-tRNA => siroheme!!!Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	0	1	1	NA	M00846!!!M00924	GC_00001368, GC_00001936, GC_00002866	1	1	1	1	11	1
Siroheme biosynthesis, glutamyl-tRNA => siroheme!!!Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide!!!Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	0	1	1	NA	M00846!!!M00924!!!M00925	GC_00000224	1	1	1	1	11	1
Siroheme biosynthesis, glutamyl-tRNA => siroheme!!!Heme biosynthesis, animals and fungi, glycine => heme!!!Heme biosynthesis, plants and bacteria, glutamate => heme!!!Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	0	1	1	NA	M00846!!!M00868!!!M00121!!!M00926	GC_00000360, GC_00000937, GC_00001421, GC_00001991, GC_00003760	1	1	1	1	11	1
Tetrahydrobiopterin biosynthesis, GTP => BH4!!!L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	0	1	1	NA	M00842!!!M00843	GC_00000648	1	1	1	1	11	1
Tetrahydrofolate biosynthesis, GTP => THF	0	1	1	NA	M00126	GC_00000505	1	1	1	1	11	1
Tetrahydrofolate biosynthesis, GTP => THF!!!Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	0	1	1	NA	M00126!!!M00841	GC_00000651	1	1	1	1	11	1
Tetrahydrofolate biosynthesis, GTP => THF!!!Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF!!!Tetrahydrobiopterin biosynthesis, GTP => BH4!!!L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	0	1	1	NA	M00126!!!M00841!!!M00842!!!M00843	GC_00000320	1	1	1	1	11	1
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP!!!Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP	0	1	1	NA	M00127!!!M00895	GC_00000406, GC_00000659	1	1	1	1	11	1
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP!!!Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP!!!Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	0	1	1	NA	M00127!!!M00895!!!M00896	GC_00000629	1	1	1	1	11	1
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP!!!Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP!!!Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP!!!Thiamine salvage pathway, HMP/HET => TMP	0	1	1	NA	M00127!!!M00895!!!M00896!!!M00899	GC_00000074, GC_00000177	1	1	1	1	11	1
Threonine biosynthesis, aspartate => homoserine => threonine	0	1	1	NA	M00018	GC_00000278, GC_00000549, GC_00000778, GC_00000782	1	1	1	1	11	1
Threonine biosynthesis, aspartate => homoserine => threonine!!!Ectoine biosynthesis, aspartate => ectoine!!!Methionine biosynthesis, apartate => homoserine => methionine!!!Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine!!!Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine!!!Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	0	1	1	NA	M00018!!!M00033!!!M00017!!!M00016!!!M00525!!!M00526!!!M00527	GC_00000711	1	1	1	1	11	1
Threonine biosynthesis, aspartate => homoserine => threonine!!!Methionine biosynthesis, apartate => homoserine => methionine	0	1	1	NA	M00018!!!M00017	GC_00000179	1	1	1	1	11	1
Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	0	1	1	NA	M00545	GC_00000508, GC_00000602	1	1	1	1	11	1
Tryptophan biosynthesis, chorismate => tryptophan	0	1	1	NA	M00023	GC_00000451, GC_00000452, GC_00000518, GC_00000623, GC_00002576	1	1	1	1	11	1
Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate!!!NAD biosynthesis, tryptophan => quinolinate => NAD	0	1	1	NA	M00038!!!M00912	GC_00000119, GC_00000280, GC_00001322, GC_00002392, GC_00002999	1	1	1	1	11	1
Tyrosine degradation, tyrosine => homogentisate	0	1	1	NA	M00044	GC_00000143, GC_00000285, GC_00000511	1	1	1	1	11	1
Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	0	1	1	NA	M00117	GC_00000305, GC_00000600, GC_00000694, GC_00001077	1	1	1	1	11	1
Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	0	1	1	NA	M00051	GC_00000619, GC_00000633, GC_00000726, GC_00000921, GC_00000944, GC_00001029, GC_00001101, GC_00001139	1	1	1	1	11	1
V/A-type ATPase, prokaryotes	0	1	1	NA	M00159	GC_00000259, GC_00000407, GC_00000502, GC_00000810, GC_00000859, GC_00001002, GC_00001342, GC_00001899	1	1	1	1	11	1
Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine!!!Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	0	1	1	NA	M00019!!!M00570	GC_00000262, GC_00000277, GC_00000330, GC_00002697	1	1	1	1	11	1
