KEGG_Module	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ferroplasma_c	p_rest	p_MAG00006	N_Ferroplasma_c	N_rest	N_MAG00006
CAM (Crassulacean acid metabolism), dark!!!C4-dicarboxylic acid cycle, NADP - malic enzyme type!!!C4-dicarboxylic acid cycle, NAD - malic enzyme type!!!C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Dicarboxylate-hydroxybutyrate cycle!!!Formaldehyde assimilation, serine pathway!!!Anoxygenic photosynthesis in green sulfur bacteria	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00168!!!M00172!!!M00171!!!M00170!!!M00173!!!M00374!!!M00346!!!M00614	GC_00000637	1	0.9091	1	1	11	1
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate!!!Glyoxylate cycle!!!Methylaspartate cycle	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00009!!!M00010!!!M00012!!!M00740	GC_00000021	1	0.9091	1	1	11	1
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Dicarboxylate-hydroxybutyrate cycle!!!Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate!!!Anoxygenic photosynthesis in green sulfur bacteria	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00009!!!M00011!!!M00173!!!M00374!!!M00620!!!M00614	GC_00000700, GC_00001011	1	0.9091	1	1	11	1
Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00914	GC_00000877, GC_00002829	1	0.9091	1	1	11	1
Coenzyme M biosynthesis	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00358	GC_00001045, GC_00002584, GC_00003183	1	0.9091	1	1	11	1
Cytochrome c oxidase	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00154	GC_00001027, GC_00001130, GC_00001205	1	0.9091	1	1	11	1
Ectoine biosynthesis, aspartate => ectoine	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00033	GC_00001010, GC_00001808	1	0.9091	1	1	11	1
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Glycolysis, core module involving three-carbon compounds!!!Gluconeogenesis, oxaloacetate => fructose-6P!!!Reductive pentose phosphate cycle (Calvin cycle)!!!Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P!!!Oxygenic photosynthesis in plants and cyanobacteria!!!Anoxygenic photosynthesis in purple bacteria	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00001!!!M00002!!!M00003!!!M00165!!!M00166!!!M00611!!!M00612	GC_00000241	1	0.9091	1	1	11	1
Heme biosynthesis, plants and bacteria, glutamate => heme	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00121	GC_00000948	1	0.9091	1	1	11	1
Inosine monophosphate biosynthesis, PRPP + glutamine => IMP!!!Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00048!!!M00049	GC_00000976	1	0.9091	1	1	11	1
Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00031	GC_00000917	1	0.9091	1	1	11	1
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00016	GC_00001003, GC_00002412	1	0.9091	1	1	11	1
Methanogenesis, acetate => methane!!!Methanogen	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00357!!!M00617	GC_00000011, GC_00001943, GC_00002892	1	0.9091	1	1	11	1
NADH:quinone oxidoreductase, prokaryotes	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00144	GC_00000493, GC_00000863, GC_00000880, GC_00000907, GC_00000918, GC_00000950, GC_00000960, GC_00002657	1	0.9091	1	1	11	1
Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00878	GC_00000755, GC_00002709	1	0.9091	1	1	11	1
Proline biosynthesis, glutamate => proline	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00015	GC_00000971	1	0.9091	1	1	11	1
PRPP biosynthesis, ribose 5P => PRPP	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00005	GC_00000310	1	0.9091	1	1	11	1
Siroheme biosynthesis, glutamyl-tRNA => siroheme!!!Heme biosynthesis, plants and bacteria, glutamate => heme!!!Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00846!!!M00121!!!M00926	GC_00000768, GC_00001167	1	0.9091	1	1	11	1
UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc!!!UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	0.1969483591898375	0.9062190912562169	1	Ferroplasma_c, MAG00006	M00892!!!M00909	GC_00000952, GC_00002196, GC_00002672, GC_00002809, GC_00003887	1	0.9091	1	1	11	1
2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	0	1	1	NA	M00608	GC_00000677	1	1	1	1	11	1
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	0	1	1	NA	M00049	GC_00000083, GC_00000291	1	1	1	1	11	1
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP!!!Guanine ribonucleotide biosynthesis IMP => GDP,GTP!!!Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP!!!Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	0	1	1	NA	M00049!!!M00050!!!M00052!!!M00053	GC_00000519	1	1	1	1	11	1
ADP-L-glycero-D-manno-heptose biosynthesis	0	1	1	NA	M00064	GC_00000304, GC_00000914	1	1	1	1	11	1
Arginine biosynthesis, ornithine => arginine!!!Urea cycle	0	1	1	NA	M00844!!!M00029	GC_00001063, GC_00001494	1	1	1	1	11	1
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	0	1	1	NA	M00129	GC_00000358	1	1	1	1	11	1
Ascorbate biosynthesis, plants, fructose-6P => ascorbate	0	1	1	NA	M00114	GC_00000701	1	1	1	1	11	1
beta-Oxidation!!!Leucine degradation, leucine => acetoacetate + acetyl-CoA	0	1	1	NA	M00087!!!M00036	GC_00000233, GC_00000482, GC_00000922, GC_00001136, GC_00002129, GC_00002529	1	1	1	1	11	1
beta-Oxidation!!!Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	0	1	1	NA	M00087!!!M00878	GC_00000180, GC_00001254, GC_00002708	1	1	1	1	11	1
C10-C20 isoprenoid biosynthesis, bacteria!!!C10-C20 isoprenoid biosynthesis, archaea!!!Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin	0	1	1	NA	M00364!!!M00365!!!M00921	GC_00000473	1	1	1	1	11	1
C5 isoprenoid biosynthesis, mevalonate pathway, archaea	0	1	1	NA	M00849	GC_00000526, GC_00000535, GC_00000757, GC_00000884, GC_00000958, GC_00003865	1	1	1	1	11	1
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate!!!Glyoxylate cycle!!!Methylaspartate cycle!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Anoxygenic photosynthesis in green sulfur bacteria	0	1	1	NA	M00009!!!M00010!!!M00012!!!M00740!!!M00173!!!M00614	GC_00000746	1	1	1	1	11	1
Citrate cycle (TCA cycle, Krebs cycle)!!!Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate!!!Methylaspartate cycle!!!Reductive citrate cycle (Arnon-Buchanan cycle)!!!Anoxygenic photosynthesis in green sulfur bacteria	0	1	1	NA	M00009!!!M00010!!!M00740!!!M00173!!!M00614	GC_00000769, GC_00003796	1	1	1	1	11	1
