"","KEGG_Module_ACC","p_value","SD_unique_KOs","avg_unique_KOs","avg_unique_KOs_ferroplasma","avg_unique_KOs_other","is_ferroplasma","ratio","NAME","CLASS","PATHWAY-ID","PATHWAY","NR-ORTHOLOGY","class"
"177","M00554",0.440493285065212,0.522232967867094,1.54545454545455,0,1.54545454545455,"NA",0,"Nucleotide sugar biosynthesis, galactose => UDP-galactose","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","map00520,map00052,map01250,map01100","Amino sugar and nucleotide sugar metabolism,Galactose metabolism,Biosynthesis of nucleotide sugars,Metabolic pathways","2"," Carbohydrate metabolism"
"178","M00555",NA,0,1,0,1,"NA",0,"Betaine biosynthesis, choline => betaine","Pathway modules; Amino acid metabolism; Serine and threonine metabolism","map00260,map00670,map01100","Glycine, serine and threonine metabolism,One carbon pool by folate,Metabolic pathways","4"," Amino acid metabolism"
"179","M00563",0.447811674319491,1.02710518202619,1.85714285714286,1,2,"FALSE",0.5,"Methanogenesis, methylamine/dimethylamine/trimethylamine => methane","Pathway modules; Energy metabolism; Methane metabolism","map00680,map01200,map01100,map01120","Methane metabolism,Carbon metabolism,Metabolic pathways,Microbial metabolism in diverse environments","14"," Energy metabolism"
"180","M00564",NA,NA,1,0,1,"NA",0,"Helicobacter pylori pathogenicity signature, cagA pathogenicity island","Signature modules; Gene set; Pathogenicity","map05120","Epithelial cell signaling in Helicobacter pylori infection","27"," Gene set"
"181","M00565",0.447811674319491,1.65748386032949,3.85714285714286,4,3.84615384615385,"TRUE",1.04,"Trehalose biosynthesis, D-glucose 1P => trehalose","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","map00500,map01100,map01110","Starch and sucrose metabolism,Metabolic pathways,Biosynthesis of secondary metabolites","6"," Carbohydrate metabolism"
"182","M00567",0.447811674319491,1.08940955880384,2.42857142857143,1,2.66666666666667,"FALSE",0.375,"Methanogenesis, CO2 => methane","Pathway modules; Energy metabolism; Methane metabolism","map00680,map01200,map01100,map01120","Methane metabolism,Carbon metabolism,Metabolic pathways,Microbial metabolism in diverse environments","15"," Energy metabolism"
"183","M00568",NA,0,1,0,1,"NA",0,"Catechol ortho-cleavage, catechol => 3-oxoadipate","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","map00362,map01220,map01100,map01120","Benzoate degradation,Degradation of aromatic compounds,Metabolic pathways,Microbial metabolism in diverse environments","5"," Xenobiotics biodegradation"
"184","M00569",0.443263278426465,2.06522432562458,2.58333333333333,0,2.58333333333333,"NA",0,"Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA","Pathway modules; Xenobiotics biodegradation; Aromatics degradation","map00362,map00622,map01220,map01100,map01120","Benzoate degradation,Xylene degradation,Degradation of aromatic compounds,Metabolic pathways,Microbial metabolism in diverse environments","11"," Xenobiotics biodegradation"
"185","M00570",0.456836125591963,1.30887657735053,5.35,4,5.5,"FALSE",0.727272727272727,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine","Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism","map00290,map01230,map01100","Valine, leucine and isoleucine biosynthesis,Biosynthesis of amino acids,Metabolic pathways","5"," Amino acid metabolism"
"186","M00572",0.454366113790637,2.45282283691282,3.38888888888889,1,3.6875,"FALSE",0.271186440677966,"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","map00780,map01240,map01100","Biotin metabolism,Biosynthesis of cofactors,Metabolic pathways","6"," Metabolism of cofactors and vitamins"
"187","M00573",0.447811674319491,1.01634985756236,2.42857142857143,0,2.42857142857143,"NA",0,"Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","map00780,map01240,map01100","Biotin metabolism,Biosynthesis of cofactors,Metabolic pathways","5"," Metabolism of cofactors and vitamins"
"188","M00575",0.406005849709838,0.447213595499958,1.2,0,1.2,"NA",0,"Pertussis pathogenicity signature, T1SS","Signature modules; Gene set; Pathogenicity","map05133","Pertussis","5"," Gene set"
"189","M00577",0.447811674319492,1.38278266986823,3.28571428571429,0,3.28571428571429,"NA",0,"Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","map00780,map01240,map01100","Biotin metabolism,Biosynthesis of cofactors,Metabolic pathways","6"," Metabolism of cofactors and vitamins"
"190","M00579",0.437274188913867,0.674948557710553,1.7,0,1.7,"NA",0,"Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate","Pathway modules; Energy metabolism; Carbon fixation","map00430,map00620,map00720,map01200,map01100,map01120","Taurine and hypotaurine metabolism,Pyruvate metabolism,Other carbon fixation pathways,Carbon metabolism,Metabolic pathways,Microbial metabolism in diverse environments","2"," Energy metabolism"
"191","M00580",0.445679641364612,0.554700196225229,1.15384615384615,1,1.18181818181818,"FALSE",0.846153846153846,"Pentose phosphate pathway, archaea, fructose 6P => ribose 5P","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","map00030,map01200,map01230,map01100,map01120","Pentose phosphate pathway,Carbon metabolism,Biosynthesis of amino acids,Metabolic pathways,Microbial metabolism in diverse environments","3"," Carbohydrate metabolism"
"192","M00595",0.39162517627109,2.21735578260835,4.25,0,4.25,"NA",0,"Sulfur oxidation, SOX system, thiosulfate => sulfate","Pathway modules; Energy metabolism; Sulfur metabolism","map00920,map01100,map01120","Sulfur metabolism,Metabolic pathways,Microbial metabolism in diverse environments","7"," Energy metabolism"
"193","M00596",0.43347012036671,0.666666666666667,1.22222222222222,0,1.22222222222222,"NA",0,"Dissimilatory sulfate reduction, sulfate => H2S","Pathway modules; Energy metabolism; Sulfur metabolism","map00920,map01100,map01120","Sulfur metabolism,Metabolic pathways,Microbial metabolism in diverse environments","4"," Energy metabolism"
"194","M00597",NA,NA,2,0,2,"NA",0,"Anoxygenic photosystem II","Pathway modules; Energy metabolism; Photosynthesis","","","2"," Energy metabolism"
"195","M00608",NA,NA,1,1,0,"NA",Inf,"2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate","Pathway modules; Energy metabolism; Methane metabolism","map00300,map00680,map01210,map01230,map01240,map01100,map01120","Lysine biosynthesis,Methane metabolism,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of cofactors,Metabolic pathways,Microbial metabolism in diverse environments","3"," Energy metabolism"
"196","M00609",0.456836125591962,0.680557047378721,1.4,1,1.44444444444444,"FALSE",0.692307692307692,"Cysteine biosynthesis, methionine => cysteine","Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism","map00270,map01230,map01100","Cysteine and methionine metabolism,Biosynthesis of amino acids,Metabolic pathways","6"," Amino acid metabolism"
"197","M00611",0.457929714471852,2.64395086763657,6.76190476190476,4,7.05263157894737,"FALSE",0.567164179104478,"Oxygenic photosynthesis in plants and cyanobacteria","Signature modules; Module set; Metabolic capacity","","","24"," Module set"
"198","M00612",0.457929714471852,2.83347338589432,6.85714285714286,4,7.15789473684211,"FALSE",0.558823529411765,"Anoxygenic photosynthesis in purple bacteria","Signature modules; Module set; Metabolic capacity","","","13"," Module set"
"199","M00613",0.456836125591962,3.08476732893815,7.4,5,7.66666666666667,"FALSE",0.652173913043478,"Anoxygenic photosynthesis in green nonsulfur bacteria","Signature modules; Module set; Metabolic capacity","","","23"," Module set"
"200","M00614",0.457929714471852,4.22238930329398,10.8571428571429,11,10.8421052631579,"TRUE",1.01456310679612,"Anoxygenic photosynthesis in green sulfur bacteria","Signature modules; Module set; Metabolic capacity","","","22"," Module set"
"201","M00615",0.433470120366709,0.5,1.33333333333333,0,1.33333333333333,"NA",0,"Nitrate assimilation","Signature modules; Module set; Metabolic capacity","","","9"," Module set"
"202","M00616",0.451417211225725,2.7741365022892,3.6875,1,3.86666666666667,"FALSE",0.258620689655172,"Sulfate-sulfur assimilation","Signature modules; Module set; Metabolic capacity","","","10"," Module set"
"203","M00617",0.454366113790637,1.07405529245092,2.72222222222222,2,2.8125,"FALSE",0.711111111111111,"Methanogen","Signature modules; Module set; Metabolic capacity","","","24"," Module set"
"204","M00618",0.456836125591962,1.01954582251634,2.75,1.5,2.88888888888889,"FALSE",0.519230769230769,"Acetogen","Signature modules; Module set; Metabolic capacity","","","12"," Module set"
"205","M00620",0.456836125591962,1.71372171173244,4.1,5,4,"TRUE",1.25,"Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate","Pathway modules; Energy metabolism; Carbon fixation","map00720,map01200,map01100,map01120","Other carbon fixation pathways,Carbon metabolism,Metabolic pathways,Microbial metabolism in diverse environments","7"," Energy metabolism"
"206","M00622",NA,0,1,1,1,"FALSE",1,"Nicotinate degradation, nicotinate => fumarate","Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism","map00760,map01100,map01120","Nicotinate and nicotinamide metabolism,Metabolic pathways,Microbial metabolism in diverse environments","6"," Metabolism of cofactors and vitamins"
"207","M00627",0.428879857553054,0.534522483824849,1.5,1,1.57142857142857,"FALSE",0.636363636363636,"beta-Lactam resistance, Bla system","Signature modules; Gene set; Drug resistance","map01501","beta-Lactam resistance","4"," Gene set"
"208","M00631",0.415880186995508,1.16904519445001,2.83333333333333,0,2.83333333333333,"NA",0,"D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","map00040,map00030,map01100","Pentose and glucuronate interconversions,Pentose phosphate pathway,Metabolic pathways","5"," Carbohydrate metabolism"
"209","M00632",0.457929714471852,1.19721899973786,2.66666666666667,1.5,2.78947368421053,"FALSE",0.537735849056604,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P","Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism","map00052,map01100","Galactose metabolism,Metabolic pathways","4"," Carbohydrate metabolism"
"210","M00633",NA,0,1,1,1,"FALSE",1,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P","Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism","map00030,map00052,map01200,map01100","Pentose phosphate pathway,Galactose metabolism,Carbon metabolism,Metabolic pathways","4"," Carbohydrate metabolism"
"211","M00642",0.367879441171442,1.15470053837925,1.66666666666667,0,1.66666666666667,"NA",0,"Multidrug resistance, efflux pump MexJK-OprM","Signature modules; Gene set; Drug resistance","","","4"," Gene set"
"212","M00643",0.367879441171442,0.577350269189626,1.33333333333333,0,1.33333333333333,"NA",0,"Multidrug resistance, efflux pump MexXY-OprM","Signature modules; Gene set; Drug resistance","","","4"," Gene set"
"213","M00651",0.43347012036671,0.333333333333333,1.11111111111111,0,1.11111111111111,"NA",0,"Vancomycin resistance, D-Ala-D-Lac type","Signature modules; Gene set; Drug resistance","map01502,map02020","Vancomycin resistance,Two-component system","11"," Gene set"
"214","M00673",NA,NA,1,0,1,"NA",0,"Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C","Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of beta-lactams","map00311,map01100,map01110","Penicillin and cephalosporin biosynthesis,Metabolic pathways,Biosynthesis of secondary metabolites","8"," Biosynthesis of other secondary metabolites"
"215","M00696",0.406005849709838,0.447213595499958,1.2,0,1.2,"NA",0,"Multidrug resistance, efflux pump AcrEF-TolC","Signature modules; Gene set; Drug resistance","","","4"," Gene set"
"216","M00697",0.406005849709838,0.447213595499958,1.2,0,1.2,"NA",0,"Multidrug resistance, efflux pump MdtEF-TolC","Signature modules; Gene set; Drug resistance","","","4"," Gene set"
"217","M00698",NA,NA,1,0,1,"NA",0,"Multidrug resistance, efflux pump BpeEF-OprC","Signature modules; Gene set; Drug resistance","","","4"," Gene set"
"218","M00714",NA,0,1,0,1,"NA",0,"Multidrug resistance, efflux pump QacA","Signature modules; Gene set; Drug resistance","","","2"," Gene set"
"219","M00718",0.406005849709838,1.51657508881031,2.6,0,2.6,"NA",0,"Multidrug resistance, efflux pump MexAB-OprM","Signature modules; Gene set; Drug resistance","","","4"," Gene set"
"220","M00725",NA,0,1,0,1,"NA",0,"Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon","Signature modules; Gene set; Drug resistance","map01503","Cationic antimicrobial peptide (CAMP) resistance","6"," Gene set"
