file	percent	reads	taxon_id	taxon_name
ERR10036469.out	0.000145	241	1817923	Candidatus Wildermuthbacteria
ERR10036469.out	0.000134	223	1817804	Candidatus Fraserbacteria
ERR10036469.out	0.000127	211	1752725	Candidatus Collierbacteria
ERR10036469.out	0.000123	205	1817810	Candidatus Riflebacteria
ERR10036469.out	0.000111	184	1752738	Candidatus Giovannonibacteria
ERR10036469.out	0.000110	182	1729712	Candidatus Fermentibacteria
ERR10036469.out	0.000109	181	1462430	Candidatus Nanohaloarchaeota
ERR10036469.out	0.000107	177	2798537	Candidatus Blackallbacteria
ERR10036469.out	0.000104	172	1154676	Candidatus Eremiobacteraeota
ERR10036469.out	0.000096	160	1752730	Candidatus Amesbacteria
ERR10036469.out	0.000090	149	1662329	Candidatus Kapabacteria
ERR10036469.out	0.000090	149	2093358	Candidatus Abyssubacteria
ERR10036469.out	0.000089	148	1752740	Candidatus Kuenenbacteria
ERR10036469.out	0.000089	148	1817918	Candidatus Tagabacteria
ERR10036469.out	0.000079	132	1817917	Candidatus Sungbacteria
ERR10036469.out	0.000072	120	67820	Candidatus Microgenomates
ERR10036469.out	0.000072	119	1817919	Candidatus Taylorbacteria
ERR10036469.out	0.000071	118	1817807	Candidatus Lindowbacteria
ERR10036469.out	0.000070	117	1817806	Candidatus Handelsmanbacteria
ERR10036469.out	0.000070	116	2202805	Olpidiomycota
ERR10036469.out	0.000069	114	1817812	Candidatus Wallbacteria
ERR10036469.out	0.000063	104	1752736	Candidatus Adlerbacteria
ERR10036469.out	0.000061	101	1817910	Candidatus Lloydbacteria
ERR10036469.out	0.000057	94	221235	Candidatus Absconditabacteria
ERR10036469.out	0.000057	94	1752735	Candidatus Wolfebacteria
ERR10036469.out	0.000055	91	2798536	Candidatus Gribaldobacteria
ERR10036469.out	0.000054	89	2109258	Abditibacteriota
ERR10036469.out	0.000051	85	1817798	Candidatus Delongbacteria
ERR10036469.out	0.000046	76	1618339	candidate division CPR2
ERR10036469.out	0.000046	76	1817809	Candidatus Raymondbacteria
ERR10036469.out	0.000042	69	1752741	Candidatus Azambacteria
ERR10036469.out	0.000039	65	1817908	Candidatus Komeilibacteria
ERR10036469.out	0.000037	62	1752717	Candidatus Curtissbacteria
ERR10036469.out	0.000036	59	1817914	Candidatus Ryanbacteria
ERR10036469.out	0.000033	55	1817920	Candidatus Terrybacteria
ERR10036469.out	0.000031	52	1817805	Candidatus Glassbacteria
ERR10036469.out	0.000030	50	2093364	Candidatus Aureabacteria
ERR10036469.out	0.000029	48	1817912	Candidatus Niyogibacteria
ERR10036469.out	0.000026	43	1817905	Candidatus Harrisonbacteria
ERR10036469.out	0.000026	43	2576005	candidate division LCP-89
ERR10036469.out	0.000025	42	1817898	Candidatus Blackburnbacteria
ERR10036469.out	0.000025	42	1817900	Candidatus Chisholmbacteria
ERR10036469.out	0.000025	42	1817909	Candidatus Liptonbacteria
ERR10036469.out	0.000025	41	1752726	Candidatus Beckwithbacteria
ERR10036469.out	0.000025	41	1817925	Candidatus Zambryskibacteria
ERR10036469.out	0.000021	35	1752727	Candidatus Campbellbacteria
ERR10036469.out	0.000019	31	2767197	Candidatus Muirbacteria
ERR10036469.out	0.000018	30	1817926	Candidatus Wirthbacteria
ERR10036469.out	0.000017	29	1736114	Imbricatea
ERR10036469.out	0.000017	29	1817915	Candidatus Spechtbacteria
ERR10036469.out	0.000015	25	1817906	Candidatus Jacksonbacteria
ERR10036469.out	0.000014	23	2703810	Candidatus Mcinerneyibacteriota
ERR10036469.out	0.000013	21	1704031	candidate division KD3-62
ERR10036469.out	0.000012	20	1618338	candidate division CPR1
ERR10036469.out	0.000010	17	1817901	Candidatus Andersenbacteria
ERR10036469.out	0.000008	14	1817922	Candidatus Vogelbacteria
ERR10036469.out	0.000008	14	2546568	Candidatus Nezhaarchaeota
ERR10036469.out	0.000006	10	1817796	Candidatus Abawacabacteria
ERR10036469.out	0.000004	7	1618340	candidate division CPR3
ERR10036469.out	0.000002	4	2301208	Candidatus Cerribacteria
ERR10036469.out	0.000002	4	2582950	Candidatus Huberarchaea
ERR10036469.out	0.089631	148940	10239	Viruses
ERR10036469.out	0.802859	1334107	NA	cannot be assigned to a (non-viral) phylum
ERR10036469.out	14.563322	24199788	NA	unclassified
