contig	Sample_ERR10036468	Sample_ERR10036469	Sample_ERR10036470
c_000000003134	10.10221465076661	0.1419647927314026	0
c_000000003139	0.06304801670146137	15.316492693110646	0
c_000000003149	0.5709525131907803	7.19466814773674	0
c_000000003150	2.0374812593703147	4.640929535232384	0
c_000000003151	22.12405482041588	0	0
c_000000003154	9.97670924117205	0	0
c_000000003160	16.43911439114391	7.9335793357933575	0
c_000000003166	5.503523382447149	0.09673286354900705	0
c_000000003178	10.688970796711086	0	0
c_000000003196	1.2513096623981375	6.444266589057043	0
c_000000003205	11.18336070060208	0	0
c_000000003212	1.709433962264151	3.6849056603773587	0
c_000000003213	0.16404128191200434	7.836501901140684	0
c_000000003216	69.60904255319149	86.30097517730496	0.16400709219858156
c_000000003235	12.066109422492401	0	0
c_000000003250	3.4809968847352026	4.5744548286604365	0
c_000000003251	1.610518292682927	39.75	0
c_000000003259	25.543006430868168	762.0844051446945	0
c_000000003295	7.123208448579331	16.09529796328891	0.07543374402816193
c_000000003306	1.4003091190108192	66.4806800618238	0
c_000000003309	12.437971500419112	0	0
c_000000003319	1.7416378316032295	8.577854671280276	0
c_000000003323	0.2822429906542056	14.245327102803738	0
c_000000003339	906.8218874612318	519.3593265396544	0.1329198050509526
c_000000003347	0.1251035625517813	3.8657829328914666	0
c_000000003352	7.52283222165213	0	0
c_000000003433	5.182052382996995	2.0747101760412194	0
c_000000003436	5.398414271555996	0	0
c_000000003439	1.1721228484643942	7.99628754640567	0
c_000000003442	27.13167366526695	83.18566286742652	0
c_000000003444	3086.262461402735	5633.539038376709	0
c_000000003450	11.334832237979938	0	0
c_000000003456	129.01855287569575	3913.165120593692	0
c_000000003476	3.3080450187578156	2.895373072113381	0
c_000000003489	5.678197908286404	128.54625905068383	0
c_000000003496	15.171943887775551	0	0
c_000000003517	4096.877448128757	5471.493310063991	0.11634671320535195
c_000000003519	44.608072916666664	0	0
c_000000003521	21.24729392173189	0	0.4987510407993339
c_000000003529	0	15.46576227390181	0
c_000000003541	3.1801872074882995	6.104524180967239	0
c_000000003568	8.80822550831793	47.863909426987064	0
c_000000003570	6.955854126679463	0	0
c_000000003586	1.5667963683527886	8.988975356679637	0
c_000000003589	1.8483235763704098	6.182011708355509	0
c_000000003604	11.443931398416886	0	0
c_000000003624	11.200745804847731	0	0
c_000000003642	12.556102955962196	10.98934244922582	0
c_000000003657	1.2133928571428572	13.44375	0
c_000000003659	11.68383017163505	0	0
c_000000003683	16.029787234042555	41.07659574468085	0
c_000000003685	4.541469194312796	9.522274881516587	0
c_000000003697	12.78663125276671	0	0
c_000000003716	1408.349817961165	2000.634890776699	256.40315533980583
c_000000003755	27.135778700982875	937.9090080048637	0
c_000000003763	88.35963047144219	54.82784661632085	0
c_000000003765	22.757462686567163	87.1455223880597	0
c_000000003771	3.3816942551119764	137.62414800389485	0
c_000000003773	89.62236286919831	63.260900140646974	0.26371308016877637
c_000000003774	6.991482112436116	0	0
c_000000003783	1.904377390565236	24.621015724606885	0
c_000000003791	227.46343561800975	367.89943600038237	1.146353121116528
c_000000003810	3.80874840357599	182.52745849297574	0
c_000000003830	113.02205486820871	65.72189349112426	0
c_000000003850	0	2.500470366886171	0
c_000000003857	0.6201232032854209	8.59606922851276	0
c_000000003860	8.820035460992909	0.26773049645390073	0
c_000000003864	8.213852813852814	0	0
c_000000003870	17.324899080277998	0.01256814682258937	0
c_000000003873	1.0471567267683772	25.857142857142858	0
c_000000003889	52.67392996108949	1812.979766536965	0
c_000000003897	0.4149954122427579	17.5645562983353	0
c_000000003903	4.402332361516035	1.293488824101069	0
c_000000003909	3.0553191489361704	2.5395744680851062	0
c_000000003910	18.442748091603054	404.83799830364717	0
c_000000003911	0	16.555555555555557	0
c_000000003940	393.69038619556284	227.73138866064093	0.09860312243221035
c_000000003960	9.05112154407929	0	0
c_000000003978	2.1142812988969806	22.925802151950084	0
c_000000003996	32.688013136289	22.105090311986864	0
c_000000003997	96.49843014128729	108.24411302982732	0.8241758241758241
c_000000004008	143.62232316677483	205.34977287475664	0.9733939000648929
c_000000004028	5.242044358727098	12.222757955641272	0
c_000000004048	8.184281842818429	1.0876242095754292	0
c_000000004087	7142.3757025508	9935.601575635297	0.043233895373973194
c_000000004100	315.8865519937451	222.05645035183738	0
c_000000004106	376.71390658174096	452.26539278131634	0
c_000000004117	8.366443643849717	0	0
c_000000004163	6.868672046955246	12.168745414526779	0.3301540719002201
c_000000004165	10.63517060367454	6.329833770778652	0
c_000000004168	140.8212620453839	360.53893378924465	0
c_000000004180	10.415846225972809	0	0
c_000000004188	19.18149824032177	0.15082956259426847	0
c_000000004237	0.8159711798258781	59.32212548784149	0
c_000000004241	9.790432801822323	0	0
c_000000004253	1.244677011909058	6.607001082641646	0
c_000000004262	11.224187725631769	0	0
c_000000004276	12.447729220222794	0	0
c_000000004288	9.195961106955872	0	0
c_000000004291	21.270991774018313	461.6490765171504	0
c_000000004304	9.139397905759163	0.39528795811518325	0
